Wavelength,Ion,EP,Log_gf,Source,Species
5052.167,6.0,7.685,-1.24,melendez2014_table1_noFe.txt,C I
5380.3369999999995,6.0,7.685,-1.57,melendez2014_table1_noFe.txt,C I
7111.47,6.0,8.64,-1.07,melendez2014_table1_noFe.txt,C I
6587.61,6.0,8.537,-1.05,melendez2014_table1_noFe.txt,C I
7113.179,6.0,8.647,-0.76,melendez2014_table1_noFe.txt,C I
6300.311,8.0,0.0,-9.77,jkc_thesis_metal_ll.txt,O I
6156.76,8.0,10.741,-0.47700000000000004,jkc_thesis_metal_ll.txt,O I
7775.388000000001,8.0,9.146,0.0,melendez2014_table1_noFe.txt,O I
7774.166,8.0,9.146,0.22,melendez2014_table1_noFe.txt,O I
7771.944,8.0,9.146,0.37,melendez2014_table1_noFe.txt,O I
6160.746999999999,11.0,2.1044,-1.246,melendez2014_table1_noFe.txt,Na I
6154.225,11.0,2.1023,-1.547,melendez2014_table1_noFe.txt,Na I
5148.838,11.0,2.1023,-2.044,melendez2014_table1_noFe.txt,Na I
6319.236,12.0,5.1080000000000005,-2.165,melendez2014_table1_noFe.txt,Mg I
5711.088000000001,12.0,4.345,-1.729,melendez2014_table1_noFe.txt,Mg I
6696.018,13.0,3.1430000000000002,-1.4809999999999999,melendez2014_table1_noFe.txt,Al I
8773.896,13.0,4.0216,-0.22,melendez2014_table1_noFe.txt,Al I
6698.6669999999995,13.0,3.1430000000000002,-1.7819999999999998,melendez2014_table1_noFe.txt,Al I
7835.309,13.0,4.021,-0.68,melendez2014_table1_noFe.txt,Al I
8772.866,13.0,4.0215,-0.38,melendez2014_table1_noFe.txt,Al I
7836.134,13.0,4.021,-0.45,melendez2014_table1_noFe.txt,Al I
5793.073,14.0,4.928999999999999,-1.96,melendez2014_table1_noFe.txt,Si I
6244.476,14.0,5.6160000000000005,-1.32,melendez2014_table1_noFe.txt,Si I
5488.983,14.0,5.614,-1.69,melendez2014_table1_noFe.txt,Si I
5645.611,14.0,4.928999999999999,-2.04,melendez2014_table1_noFe.txt,Si I
5665.554,14.0,4.92,-1.94,melendez2014_table1_noFe.txt,Si I
6721.848000000001,14.0,5.862,-1.12,melendez2014_table1_noFe.txt,Si I
6125.021,14.0,5.614,-1.5,melendez2014_table1_noFe.txt,Si I
6741.63,14.0,5.984,-1.65,melendez2014_table1_noFe.txt,Si I
5684.484,14.0,4.953,-1.55,melendez2014_table1_noFe.txt,Si I
5690.425,14.0,4.928999999999999,-1.77,melendez2014_table1_noFe.txt,Si I
5517.54,14.0,5.08,-2.496,melendez2014_table1_noFe.txt,Si I
5701.104,14.0,4.93,-1.95,melendez2014_table1_noFe.txt,Si I
6243.823,14.0,5.6160000000000005,-1.27,melendez2014_table1_noFe.txt,Si I
6145.015,14.0,5.6160000000000005,-1.41,melendez2014_table1_noFe.txt,Si I
6743.54,16.0,7.8660000000000005,-0.6,melendez2014_table1_noFe.txt,S I
6757.153,16.0,7.87,-0.15,melendez2014_table1_noFe.txt,S I
8693.93,16.0,7.87,-0.44,melendez2014_table1_noFe.txt,S I
8694.62,16.0,7.87,0.1,melendez2014_table1_noFe.txt,S I
6046.0,16.0,7.867999999999999,-0.15,melendez2014_table1_noFe.txt,S I
6052.656,16.0,7.87,-0.4,melendez2014_table1_noFe.txt,S I
7698.974,19.0,0.0,-0.168,melendez2014_table1_noFe.txt,K I
5512.98,20.0,2.9330000000000003,-0.46399999999999997,melendez2014_table1_noFe.txt,Ca I
5590.1140000000005,20.0,2.521,-0.5710000000000001,melendez2014_table1_noFe.txt,Ca I
6166.439,20.0,2.521,-1.1420000000000001,melendez2014_table1_noFe.txt,Ca I
6455.598000000001,20.0,2.523,-1.34,melendez2014_table1_noFe.txt,Ca I
5867.562,20.0,2.9330000000000003,-1.57,melendez2014_table1_noFe.txt,Ca I
6439.08,20.0,2.526,0.19,jkc_thesis_metal_ll.txt,Ca I
6169.0419999999995,20.0,2.523,-0.797,melendez2014_table1_noFe.txt,Ca I
6508.84,20.0,2.526,-2.11,jkc_thesis_metal_ll.txt,Ca I
6499.65,20.0,2.523,-0.818,melendez2014_table1_noFe.txt,Ca I
5260.387,20.0,2.521,-1.719,melendez2014_table1_noFe.txt,Ca I
6161.3,20.0,2.523,-1.03,jkc_thesis_metal_ll.txt,Ca I
6493.78,20.0,2.521,-0.11,jkc_thesis_metal_ll.txt,Ca I
6471.661999999999,20.0,2.525,-0.6859999999999999,melendez2014_table1_noFe.txt,Ca I
5581.965,20.0,2.5229,-0.555,melendez2014_table1_noFe.txt,Ca I
5671.821,21.0,1.4478,0.55,melendez2014_table1_noFe.txt,Sc I
5081.57,21.0,1.4478,0.3,melendez2014_table1_noFe.txt,Sc I
5520.496999999999,21.0,1.8649,0.55,melendez2014_table1_noFe.txt,Sc I
5657.87,21.1,1.507,-0.3,melendez2014_table1_noFe.txt,Sc II
6604.578,21.1,1.3569,-1.15,melendez2014_table1_noFe.txt,Sc II
6320.843000000001,21.1,1.5,-1.85,melendez2014_table1_noFe.txt,Sc II
6245.63,21.1,1.507,-1.03,melendez2014_table1_noFe.txt,Sc II
5684.19,21.1,1.507,-0.95,melendez2014_table1_noFe.txt,Sc II
5526.82,21.1,1.77,0.14,melendez2014_table1_noFe.txt,Sc II
6279.76,21.1,1.5,-1.2,melendez2014_table1_noFe.txt,Sc II
5295.774,22.0,1.0665,-1.633,melendez2014_table1_noFe.txt,Ti I
6258.104,22.0,1.443,-0.355,melendez2014_table1_noFe.txt,Ti I
6261.101,22.0,1.429,-0.479,melendez2014_table1_noFe.txt,Ti I
6091.174,22.0,2.2673,-0.423,melendez2014_table1_noFe.txt,Ti I
5866.451999999999,22.0,1.0659999999999998,-0.84,melendez2014_table1_noFe.txt,Ti I
6554.22,22.0,1.443,-1.22,jkc_thesis_metal_ll.txt,Ti I
6556.06,22.0,1.46,-1.074,jkc_thesis_metal_ll.txt,Ti I
6599.11,22.0,0.9,-2.085,jkc_thesis_metal_ll.txt,Ti I
5219.7,22.0,0.021,-2.292,melendez2014_table1_noFe.txt,Ti I
6126.217,22.0,1.0659999999999998,-1.4240000000000002,melendez2014_table1_noFe.txt,Ti I
5147.479,22.0,0.0,-2.012,melendez2014_table1_noFe.txt,Ti I
