Line Lowercut Uncertainty Offset
5234.63 0.995 3.975 -0.6
5284.1 0.96 4.95 -2.4
5307.36 0.99 1.8 0.5
5322.04 0.98 2.7 -0.5
5325.56 0.985 3.6 -1.3
5414.05 0.99 3.975 0.0
5425.25 0.995 2.85 0.9
5466.99 0.99 3.225 -1.15
5491.83 0.99 4.275 -1.3
5522.45 0.99 3.525 -0.25
5536.58 0.99 4.8 -2.4
5539.28 0.985 3.45 -1.5
5560.21 0.99 2.7 0.1
5577.03 0.985 3.45 -1.7
5607.66 0.99 3.675 -1.15
5611.35 0.99 2.475 -0.7
5618.63 0.99 3.0 -1.5
5633.95 0.99 3.45 -0.35
5635.82 0.995 3.3 -1.35
5636.7 0.99 2.85 -1.0
5638.26 0.995 2.7 0.1
5661.36 0.99 2.1 0.9
5691.5 0.95 5.25 -2.0
5698.02 0.985 3.0 0.0
5705.48 0.985 3.45 -1.0
5712.13 0.975 6.75 -1.9
5753.12 0.98 4.35 0.2
5760.35 0.99 5.325 1.85
5778.45 0.99 2.25 -0.1
5784.66 0.985 3.15 -0.55
5793.91 0.95 3.6 -1.1
5807.78 0.99 3.9 -0.6
5809.22 0.98 3.825 -2.0
5811.92 0.995 2.175 0.0
5814.81 0.995 3.075 1.35
5837.7 0.995 3.0 0.2
5838.37 0.995 4.5 -0.5
5849.68 0.995 3.9 -0.8
5853.15 0.985 2.1 -0.9
5855.08 0.995 1.95 0.5
5856.08 0.98 2.7 0.05
5861.11 0.995 2.4 1.0
5916.25 0.965 4.5 0.9
5991.37 0.985 3.15 -0.6
6024.06 0.985 3.225 -0.35
6027.05 0.99 3.825 -1.6
6056.01 0.99 2.85 -1.4
6079.01 0.99 1.875 -0.8
6084.1 0.99 2.625 0.05
6120.25 0.98 2.625 -1.45
6127.9 0.99 2.85 -0.95
6149.25 0.99 3.225 -0.65
6151.62 0.99 2.4 -0.8
6165.36 0.99 3.0 -0.5
6173.33 0.975 2.1 -0.9
6180.2 0.955 3.0 0.2
6200.31 0.99 2.25 -1.0
6232.64 0.98 3.45 1.2
6247.58 0.99 2.7 0.55
6271.28 0.985 4.65 -1.6
6311.5 0.985 4.8 -0.8
6322.69 0.98 2.25 -0.5
6393.6 0.995 3.9 1.8
6416.92 0.99 2.25 -0.2
6432.68 0.995 2.4 0.5
6456.38 0.995 3.15 -1.4
6481.87 0.985 4.95 -1.85
6518.37 0.995 3.75 -0.95
6593.87 0.98 2.55 -1.3
6597.56 0.995 1.95 -0.7
6609.11 0.99 2.4 -0.25
6699.15 0.995 2.925 0.3
6733.15 0.995 2.1 -0.2
6750.15 0.995 1.725 0.45
6820.37 0.995 2.25 -0.7
6855.16 0.99 3.6 -0.9
6858.15 0.985 2.1 0.3
6971.94 0.99 4.5 0.15
7112.17 0.995 4.95 -0.9
7189.16 0.995 7.65 -2.3
7401.66 0.995 3.0 -1.3
7583.79 0.99 4.35 -0.8
7723.21 0.99 2.55 -1.3
7941.09 0.995 2.7 -0.75
